Mol,Smiles
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94A340>,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF972340>,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO[P@@](=O)(S)O[P@](=O)(O)OP(=O)(O)O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B3760>,COc1cc(/C=C\c2ccc(OC)c(OP(=O)(O)O)c2OP(=O)(O)O)cc(OC)c1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F63B0>,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B2340>,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D5BD0>,O=C(Nc1cccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)c1)Nc1nccs1
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95D380>,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DAE30>,O=C1/C(=N\O)c2c(/C=C/c3ccccc3)cccc2N1Cc1cc(F)cc2c1OCOC2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF990BA0>,NCCC[C@@H](NC(=O)CCC(=O)O)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95CBA0>,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98C970>,OC[C@@H]1NC[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF983290>,CCCCCCCCSC[C@@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F2500>,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94FBC0>,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D69D0>,O=C(O)[C@@H]1CCCC[C@@H]1c1n[nH]c(=S)[nH]1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A9690>,O=COCc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9966C0>,CCCCn1c(Cc2cccc(OC)c2)nc2c(N)ncnc21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93A6C0>,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF954C10>,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF978A50>,CC(=O)N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95CC10>,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF947DF0>,Clc1cc(Cl)c(OCC#CI)cc1Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95DD90>,CN(Cc1cn(C)c2ccccc12)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98B220>,N[Co+3](N)(N)(N)(N)N
<rdkit.Chem.rdchem.Mol object at 0x00000219AF995EE0>,CS(=O)(=O)CC[C@@H](N)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C09E0>,O=C(NCc1ccc(-c2ccccc2)cc1)[C@@H]1O[C@H]2CN(C(=O)NO)C[C@@H]1O2
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F9E00>,O=C([O-])CC(O)(CC(=O)O)C(=O)O.O=C([O-])CC(O)(CC(=O)O)C(=O)O.[Bi+3].[K+].[K+].[K+]
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6FB370>,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C0970>,NCC1CCN(Cc2ccc3[nH]c(-c4cc5ccccc5[nH]c4=O)cc3c2)CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF984DD0>,Nc1c([N+](=O)[O-])[nH]c(=O)[nH]c1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98DC40>,CN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D8970>,CCCCCCCCO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF993B50>,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF94CA50>,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF957C30>,O=C([O-])CCCO
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B27A0>,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)ncnc32)[C@H](O)[C@@H]1O
