CID,Isomeric SMILES
16193407,CC1=CC(=CC(=C1)NC(=S)N(CCCN2CCOCC2)C(C)C3=CC4=C(O3)C(=CC=C4)OC)C
2567018,CC(=O)NCC1=CC=C(O1)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCOC
24747051,CCN1CCN(CC1)CCC(=O)NC2=CC=CC(=C2)C.Cl
671082,C1=CC=C(C(=C1)C(=O)NC2=CC=CC=N2)C(=O)O
722350,CC1=CC(=S)NC2=CC=CC=C12
2999734,C/C(=C\1/NC(C2=CC=CC=C2C(=O)N1)C3=CC=CC=C3)/NC(=O)OC
4986557,CC(C(=O)NC1=CC=C(C=C1)NC(=O)C)OC(=O)C2=NC3=CC=CC=C3C=C2
18582855,C1CN(CCN1C2=CC=C(C=C2)F)S(=O)(=O)CCNC(=O)C3=CC4=C(C=C3)OCO4
16011878,CCOC(=O)C1=CC=CC=C1NC(=O)CSC2=NC3=C(N2)C=NC=C3
2477909,COC1=NC=C(C=C1)NC(=O)CCC(=O)C2=CC=C(C=C2)Cl
5349077,CC1=CC=C(C=C1)S(=O)(=O)N/N=C/C2=CC=C(C=C2)C(=O)O
2446392,CC1=C(SC2=NC(=NC(=C12)N3CCN(CC3)C(=O)C4=CC=CO4)CN5CCCCC5)C
2225369,C1CCCC2=C(CC1)C(=C(S2)NC(=O)C3=CC=CO3)C(=O)NC4CC4
1480279,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC=C(C=C2)N3CCCC3)Cl
9496225,CC1=CC(=C(C=C1)C)S(=O)(=O)N2CCN(CC2)C(=O)CC3=CSC=C3
5524047,CC1=CC=C(C=C1)N/C=C/C(=C(C#N)C#N)OC
657585,CC1=C2COC(CC2=C(C(=N1)NCC3=CC=CC=C3)C(=O)N)(C)C
20884329,CCC1=NN(C(=O)C2=CC3=C(N21)C=CS3)CC(=O)NCCCN4CCN(CC4)C
2264232,CC1=CC=C(C=C1)SCCNC(=O)C2=CC(=CC=C2)OC
9607500,CN1CCN(CC1)C2=C(C3=CC=CC=C3N2C)/C=N/O
1832489,C1=CC=C2C(=C1)N=C(S2)NS(=O)(=O)C3=CC(=C(N=C3)Cl)Br
3240329,CCOC(=O)N1CCC(CC1)NC(=O)C2=CC3=C(S2)N(N=C3C4=CC(=C(C=C4)OC)OC)C
2356467,CC1=CN=C(C=N1)C(=O)OCC(=O)NCCC2=CC(=C(C=C2)OC)OC
9320743,CCC1=NOC(=C1C(=O)NNC(=O)COC2=CC=CC=C2C)C
16830288,COC1=CC(=C(C=C1)OC)S(=O)(=O)N2CCC3(CC2)N(CCO3)S(=O)(=O)C4=CC=CS4
5769380,CCC(C)OC1=C(C=C(C=C1)/C=C\C2=NC(=C(C(=O)N2)[N+](=O)[O-])O)OCC
2121896,CC1=CC=C(C=C1)CNC(=O)C2=NN3C(=CC(=NC3=N2)C)C
16307469,CCN(C1CCCCC1)C(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C
2292086,COC1=C(C=CC(=C1)CC=C)OCCCOC2=CC=C(C=C2)C(=O)O
703078,CC1=NO[N+](=C1COC2=C(C=C(C=C2)/C=C(\C#N)/C(=O)N)OC)[O-]
647323,CC(C)(C)C1=NC(=C2C(=N1)N(N=N2)CC3=CC=CC=C3)NCC4CCCO4
4848451,C1=CC2=C(C=C1NS(=O)(=O)C3=CC(=C(C=C3)Br)C(=O)O)NN=C2
