CID,Isomeric SMILES
659453,C1CN(CCN1C2=CC=CC=C2)C3=NC=NC4=C3NC5=C4C=C(C=C5)F
16031868,CC(=O)N1CCCC2=C1C=CC(=C2)S(=O)(=O)N3CCCC(C3)C(=O)N4CCN(CC4)C5=CC(=CC=C5)Cl
24980372,CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)N3CCCC(C3)C(F)(F)F
18528944,CC1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O
1728278,CC1=CC=C(C=C1)C(=O)NC(=S)NNC(=O)C2=CC=CC=C2
2743870,C=CCN1C(=O)NN=C1SC2=NC=C(S2)[N+](=O)[O-]
6897952,CC1=CC=C(C=C1)S(=O)(=O)N/N=C/C2=CC=C(C=C2)OC3CSC3
6708701,C[C@]12C3CCC([C@]1(C(=O)OC2=O)C)O3
487737,COC1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])O
3216691,COC1=CC(=C(C=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C)OC
5983846,CC(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4
6390973,CCCC1=NN2C(=N)/C(=C\C3=C(N(C(=C3)C)CC4=CC=CC=C4)C)/C(=O)N=C2S1
1883658,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NNC(=S)NC(=O)C3=C(C=C(C=C3)Cl)Cl
16396279,CCCCN=C[C@]12CCC(CC1(CCC3[C@@H]2CC[C@]4(C3(CC[C@H]4C5C=CC(=O)O5)O)C)O)O
5094315,CC1=CC=C(C=C1)NN2C(=O)C=C(C2=O)C3=CC=C(C=C3)Cl
4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
10363146,[B-](F)(F)(F)F.CC1=CC=C(C=C1)C2=CC(=[N+](O2)C)/C=C/C3=CC=C(C=C3)OC
3105194,CC1=CC(=CC=C1)C2(CC2C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])O)C4=CC=CC(=C4)C
9679312,C1=CC=C2C=C(C=CC2=C1)N/N=C/C3=CC=C(O3)[N+](=O)[O-]
2841126,CC1=CC(=C(C=C1)C(=O)CSC2=C(C(CC(=O)N2)C3=CC=CO3)C#N)C
3129671,C1COC2=C(O1)C=CC(=C2)C(=O)CCCC3=CC=CC=C3
977927,CCC1=CC\2=C(C=C1)NC(=O)/C2=C\C(=O)C3=CC=CS3
182785,CC(C)NC1=CC=C(C=C1)NC2=CC=NC3=CC4=CC=CC=C4C=C23
5334025,CN(C1=CC=CC=C1)/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
16014492,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC(=C3)C
135519935,COCCN=C1N(C(=CS1)C2=CC=CO2)/N=C/C3=C(C(=C(C=C3)O)O)O
4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F
6228509,COC1=CC(=C(C=C1)C(=O)/C=C/2\C3=CC=CC=C3NC2=O)OC
2726512,C1C2CC3CC1CC(C2)(C3)C(=O)NNC(=S)N
282274,C1=CC(=CC(=C1)Cl)NC(=O)C2=C(C=CC(=C2)N=NC3=C(C=C(C=C3)[N+](=O)[O-])Cl)O
935415,CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3S2
