ID,Mol,Smiles,Source
CHEMBL1760168,<rdkit.Chem.rdchem.Mol object at 0x000002210940FA70>,CNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,mtor
CHEMBL568259,<rdkit.Chem.rdchem.Mol object at 0x000002210940FAE0>,CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,mtor
CHEMBL567172,<rdkit.Chem.rdchem.Mol object at 0x000002210940FB50>,O=C(Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,mtor
CHEMBL578645,<rdkit.Chem.rdchem.Mol object at 0x000002210940FBC0>,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,mtor
CHEMBL1957502,<rdkit.Chem.rdchem.Mol object at 0x000002210940FC30>,CNC(=O)c1cn2cc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2n1,mtor
CHEMBL1762774,<rdkit.Chem.rdchem.Mol object at 0x000002210940FCA0>,Oc1cccc(Nc2nc3ccccc3n2-c2ncnc(Nc3ccccc3)n2)c1,mtor
CHEMBL1256465,<rdkit.Chem.rdchem.Mol object at 0x000002210940FD10>,CCC(=O)N1CCN(c2ccc(-n3c(=O)n(C)c(=O)c4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,mtor
CHEMBL1760166,<rdkit.Chem.rdchem.Mol object at 0x000002210940FD80>,Cc1nc(N)nc(-n2c(Nc3nc[nH]n3)nc3ccccc32)n1,mtor
CHEMBL597814,<rdkit.Chem.rdchem.Mol object at 0x000002210940FDF0>,Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1,mtor
CHEMBL1256468,<rdkit.Chem.rdchem.Mol object at 0x000002210940FE60>,CCC(=O)N1CCN(c2ccc(N3C(=O)OCc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,mtor
